"data","cluster","T2","T3","T4","L1","L2","L3","F1","F1v","F2","F3","F4","N1","N2","N3","N4","T1","LSC","cluster.1"
"abalone_19",3,0.0019152501795547,0.00047881254488867,0.25,0.0162334143940384,0.00747901330022726,0.00723801843924437,0.996982221159277,0.315705345386965,0.00078344490692865,0.66554943739526,0.519032798659325,0.0220253770648791,0.213870362953819,0.0158008139813263,0.00718218817333014,0.00510204081632653,0.940255210410717,"3"
"abalone",1,0.0019152501795547,0.00047881254488867,0.25,0.168078715278943,0.0772011388238682,0.0762852913353101,0.933967368419326,0.461537167094555,0.00214949754124441,0.878142207325832,0.793871199425425,0.198467799856356,0.344370876086992,0.144840794828825,0.10653579123773,0.00081366965012205,0.984203885878463,"1"
"churn",1,0.004,2e-04,0.05,0.216112479659312,0.0989889683627488,0.0918366372877894,0.987408897089199,0.353828645774393,0.119038735780437,0.9942,0.9696,0.2246,0.439367086046186,0.1424,0.0376,0.0002844141069397,0.99645144,"1"
"jm1",1,0.00193014705882353,9.19117647058824e-05,0.0476190476190476,0.281330850462552,0.140100234062819,0.136440622932206,0.966304330494158,0.756680758306252,2.45395061827837e-09,0.998897058823529,0.992830882352941,0.358547794117647,0.351542103997528,0.247794117647059,0.218933823529412,0.00014957367311745,0.9992998232726,"1"
"kc1",1,0.00995732574679943,0.00047415836889521,0.0476190476190476,0.206522032390085,0.102093335697474,0.0964203284245737,0.901046093375357,0.373600849479866,0.00104365408842356,0.990516832622096,0.959222380275012,0.275486012328118,0.235960481592006,0.211000474158369,0.231389284020863,0.00097834676782045,0.981673970144435,"1"
"MagicTelescope",2,0.00052576235541535,0.00026288117770767,0.5,0.319577060831449,0.15331574911098,0.138012903716422,0.953604568561785,0.318878237938891,0.0814895224273299,0.994111461619348,0.982124079915878,NA,NA,NA,NA,NA,NA,"2"
"mammography",2,0.00053652865957256,0.00044710721631047,0.833333333333333,0.0457924409038301,0.0167287463447712,0.0152838338105297,0.94410660283136,0.0598104177708171,0.00511202733285858,0.973173567021372,0.949119198783868,NA,NA,NA,NA,NA,NA,"2"
"ozone_level_8hr",3,0.0284135753749013,0.0015785319652723,0.0555555555555556,0.128840706124884,0.0486855153874797,0.0468173026016278,0.974454624593681,0.215858333993964,1.34774160967219e-18,0.744672454617206,0.290844514601421,0.120757695343331,0.400632985359958,0.0773480662983425,0.021310181531176,0.0009784735812133,0.96573296147921,"3"
"pc1",1,0.0189359783588819,0.00090171325518485,0.0476190476190476,0.117719133536881,0.0549731826031917,0.0526683199292232,0.9583174680052,0.464584145831015,3.73357949561655e-06,0.946798917944094,0.709648331830478,0.133453561767358,0.256234538187418,0.073038773669973,0.0541027953110911,0.00402105463795846,0.958664293537342,"1"
"pc3",1,0.0236724248240563,0.00063979526551503,0.027027027027027,0.159139373798232,0.0737152345572736,0.0690964951618242,0.983111936387157,0.684233446275189,8.12640530459338e-21,0.935380678182981,0.868202175303903,0.191298784388996,0.28451206411684,0.119641714651312,0.072296865003199,0.00230296675434231,0.977465125427298,"1"
"pc4",1,0.0253772290809328,0.00068587105624142,0.027027027027027,0.173002042978163,0.0725901638581273,0.0671820899478965,0.972519525608807,0.413998291878123,1.7535829062577e-14,0.876543209876543,0.649519890260631,0.198902606310014,0.282342306721534,0.126200274348422,0.0637860082304527,0.00206328152456099,0.967000570147956,"1"
"phoneme",2,0.00092524056254626,0.00092524056254626,1,0.318779699444222,0.155970502521816,0.142245164879102,0.929694561484654,0.386369768453199,0.270830215788221,0.877683197631384,0.865099925980755,0.195225758697261,0.246258535850219,0.0906735751295337,0.175240562546262,0.00065530799475753,0.98051611849873,"2"
"qsar_biodeg",1,0.0388625592417062,0.00663507109004739,0.170731707317073,0.273576709184707,0.11271001948041,0.0982160990148983,0.952159614889435,0.185486676192467,0,0.920379146919431,0.664454976303318,0.272985781990521,0.351478628905594,0.169668246445498,0.0663507109004739,0.00242130750605327,0.98963006221783,"1"
"spambase",1,0.0123886111714845,0.00043468811128015,0.0350877192982456,0.259124626677705,0.105075527270483,0.0875478796976436,0.966624008931939,0.15806867963978,2.53314807831223e-33,0.908715496631167,0.615301021517062,0.161486633340578,0.271429547095752,0.0873723103673115,0.0397739621821343,0.00069465457560625,0.993996372371352,"1"
"SpeedDating",1,0.114503816793893,0.00954198473282443,0.0833333333333333,0.230056229702413,0.0911804123100234,0.0826353858841655,0.982467255013819,0.195763639021134,0.00025152210259138,0.91030534351145,0.739503816793893,0.341603053435114,0.409285404817178,0.229007633587786,0.00286259541984733,0.0015748031496063,0.992802539187693,"1"
"steel_plates_fault",3,0.0170015455950541,0.00051519835136527,0.0303030303030303,1.67499301158957e-16,1.01649517756989e-31,8.49918812934781e-05,0.972538126364147,0.760303132926392,0,0.792890262751159,0,0.0453374549201443,0.252001087125191,0.00927357032457496,0.0376094796496651,0.00172711571675302,0.971852280077856,"3"
"us_crime",3,0.0501504513540622,0.0160481444332999,0.32,0.122655937557557,0.043882905645241,0.0382816303778367,0.955519720756974,0.106431531249421,0.00032968851086817,0.832497492477432,0.119859578736209,0.125376128385155,0.388020320137358,0.0867602808425276,0.0130391173520562,0.00124843945068664,0.927880934679666,"3"
"wilt",3,0.00103327133705311,0.00041330853482124,0.4,0.104666925766636,0.0432334697815694,0.0417777409962208,0.992946433966229,0.22065293031013,6.10940659842852e-05,0.849349039057657,0.652407522215334,0.0824550526968382,0.280239855650726,0.0473238272370324,0.0359578425294482,0.00119189511323004,0.983178880728202,"3"
"wine_quality",1,0.00224581461821152,0.00040832993058391,0.181818181818182,0.0755085284665004,0.033303492776068,0.0326859734355811,0.99406474811926,0.325965693614527,0.00266368927269721,0.970600244997958,0.929563086974275,0.0818701510820743,0.212783719410187,0.041649652919559,0.0242956308697428,0.00116822429906542,0.983821656358934,"1"
"yeast_me2",2,0.00539083557951483,0.00471698113207547,0.875,0.0777562909549892,0.0293426832847227,0.0277608668953634,0.980323836628082,0.202420732094326,0,0.908355795148248,0.688679245283019,0.0646900269541779,0.276307808062369,0.0404312668463612,0.0175202156334232,0.00591715976331361,0.900230490914771,"2"
"yeast_ml8",3,0.0426148117501034,0.0306164666942491,0.718446601941748,0.134500231014817,0.0637535223884633,0.0624312669634771,0.998610803541472,0.493511702299958,1.36111813520106e-16,0.959040132395532,0.271824575920563,0.187008688456765,0.45222724353786,0.13115432354158,0.00041373603640877,0.0004492362982929,0.98938853511253,"3"
